protein_id	matrixdb_ecm	matrisome_category	matrisome_subcategory	dataset	interaction_count
Q5ZKC9	True			Swiss-Prot	1
P63104	True			Swiss-Prot	1321
P36639	True			Swiss-Prot	23
P53368	True			Swiss-Prot	0
P53369	True			Swiss-Prot	0
Q7SIH1	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P01023	True	Matrisome-associated	ECM Regulators	Swiss-Prot	432
Q6GQT1	True	Matrisome-associated	ECM Regulators	Swiss-Prot	2
P06238	True			Swiss-Prot	2
A8K2U0	True	Matrisome-associated	ECM Regulators	Swiss-Prot	37
Q28053	True			Swiss-Prot	0
Q28280	True			Swiss-Prot	0
P05067	True			Swiss-Prot	1115
P12023	True			Swiss-Prot	87
P79307	True			Swiss-Prot	0
Q28748	True			Swiss-Prot	0
P08592	True			Swiss-Prot	12
Q28757	True			Swiss-Prot	0
Q99758	True			Swiss-Prot	31
Q54XS2	True			Swiss-Prot	0
Q8NEB7	True			Swiss-Prot	2
Q3V140	True			Swiss-Prot	0
Q29016	True			Swiss-Prot	0
Q6AY33	True			Swiss-Prot	0
P05095	True			Swiss-Prot	0
Q55DU1	True			Swiss-Prot	0
O75077	True	Matrisome-associated	ECM Regulators	Swiss-Prot	32
Q9R1V7	True	Matrisome-associated	ECM Regulators	Swiss-Prot	2
Q9UKQ2	True	Matrisome-associated	ECM Regulators	Swiss-Prot	43
P54922	True			Swiss-Prot	11
P54923	True			Swiss-Prot	1
Q02589	True			Swiss-Prot	0
Q12904	True			Swiss-Prot	116
P31230	True			Swiss-Prot	2
P02769	True			Swiss-Prot	21
P49822	True			Swiss-Prot	0
P19121	True			Swiss-Prot	1
P02768	True			Swiss-Prot	306
P07724	True			Swiss-Prot	9
P35858	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	19
P30533	True			Swiss-Prot	92
O08590	True			Swiss-Prot	0
Q29437	True			Swiss-Prot	0
O46406	True			Swiss-Prot	0
P09813	True			Swiss-Prot	1
P04638	True			Swiss-Prot	0
P06727	True			Swiss-Prot	38
P02649	True			Swiss-Prot	271
P15514	True	Matrisome-associated	Secreted Factors	Swiss-Prot	73
P54638	True			Swiss-Prot	0
Q9NZ32	True			Swiss-Prot	125
O15511	True			Swiss-Prot	136
Q9XPJ9	True			Swiss-Prot	0
P02701	True			Swiss-Prot	1
P50895	True			Swiss-Prot	104
Q9ULD4	True			Swiss-Prot	113
Q075Z2	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
Q28065	True			Swiss-Prot	0
P04003	True			Swiss-Prot	132
P08607	True			Swiss-Prot	1
Q63514	True			Swiss-Prot	0
Q28066	True			Swiss-Prot	0
P20851	True			Swiss-Prot	57
Q63515	True			Swiss-Prot	0
P57796	True			Swiss-Prot	52
P25230	True			Swiss-Prot	0
Q01518	True			Swiss-Prot	167
P02669	True			Swiss-Prot	0
Q91ZF2	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
D3ZZ07	True			Swiss-Prot	0
Q9JI81	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P07688	True			Swiss-Prot	0
P43233	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P07858	True	Matrisome-associated	ECM Regulators	Swiss-Prot	151
P10605	True	Matrisome-associated	ECM Regulators	Swiss-Prot	10
A1E295	True			Swiss-Prot	0
Q17QK3	True			Swiss-Prot	0
Q9Y646	True			Swiss-Prot	39
Q9WVJ3	True			Swiss-Prot	0
Q6IRK9	True			Swiss-Prot	1
Q55DL1	True			Swiss-Prot	0
A2VE00	True			Swiss-Prot	0
Q8NHW4	True	Matrisome-associated	Secreted Factors	Swiss-Prot	92
Q9PU41	True			Swiss-Prot	0
P06307	True			Swiss-Prot	122
P09240	True			Swiss-Prot	0
P01356	True			Swiss-Prot	0
P01355	True			Swiss-Prot	0
Q9TTS6	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P51671	True	Matrisome-associated	Secreted Factors	Swiss-Prot	212
P06729	True			Swiss-Prot	426
P08920	True			Swiss-Prot	2
P08921	True			Swiss-Prot	2
P01732	True			Swiss-Prot	384
P10966	True			Swiss-Prot	423
A2VDZ5	True			Swiss-Prot	0
Q5ZLK8	True			Swiss-Prot	0
Q6NZZ3	True			Swiss-Prot	0
Q7Z4R8	True			Swiss-Prot	15
Q9DAY5	True			Swiss-Prot	0
Q6AY64	True			Swiss-Prot	0
P32750	True			Swiss-Prot	0
P06276	True			Swiss-Prot	53
Q03311	True			Swiss-Prot	0
P32752	True			Swiss-Prot	0
P21927	True			Swiss-Prot	0
P32753	True			Swiss-Prot	0
Q86X52	True			Swiss-Prot	52
Q6ZQ11	True			Swiss-Prot	0
Q9BZ76	True			Swiss-Prot	62
P23206	True			Swiss-Prot	0
P08125	True	Core matrisome	Collagens	Swiss-Prot	0
Q03692	True	Core matrisome	Collagens	Swiss-Prot	113
Q05306	True	Core matrisome	Collagens	Swiss-Prot	0
Q28083	True	Core matrisome	Collagens	Swiss-Prot	2
P12107	True	Core matrisome	Collagens	Swiss-Prot	187
Q61245	True	Core matrisome	Collagens	Swiss-Prot	1
P20909	True			Swiss-Prot	35
Q32S24	True	Core matrisome	Collagens	Swiss-Prot	2
P13942	True	Core matrisome	Collagens	Swiss-Prot	178
Q64739	True	Core matrisome	Collagens	Swiss-Prot	0
Q96P44	True	Core matrisome	Collagens	Swiss-Prot	39
Q54CU4	True			Swiss-Prot	0
Q8T2A1	True			Swiss-Prot	0
Q54TT6	True			Swiss-Prot	0
Q54NU3	True			Swiss-Prot	0
Q557B8	True			Swiss-Prot	0
Q17RW2	True	Core matrisome	Collagens	Swiss-Prot	65
Q30D77	True	Core matrisome	Collagens	Swiss-Prot	0
Q14019	True			Swiss-Prot	51
A7MCS3	True			Swiss-Prot	0
Q3UST5	True			Swiss-Prot	0
Q7Z4B0	True			Swiss-Prot	0
C7DZK3	True			Swiss-Prot	0
A0MSJ1	True			Swiss-Prot	0
Q9NQ79	True			Swiss-Prot	33
Q8R555	True			Swiss-Prot	0
P21837	True			Swiss-Prot	0
O14936	True			Swiss-Prot	413
O70589	True			Swiss-Prot	20
Q62915	True			Swiss-Prot	13
P81282	True	Core matrisome	Proteoglycans	Swiss-Prot	0
Q9H114	True	Matrisome-associated	ECM Regulators	Swiss-Prot	8
P19661	True			Swiss-Prot	0
Q2IAL6	True			Swiss-Prot	0
P50415	True			Swiss-Prot	0
P33046	True			Swiss-Prot	0
P54229	True			Swiss-Prot	0
P54228	True			Swiss-Prot	0
P56425	True			Swiss-Prot	0
Q96CG8	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	3
Q9D1D6	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
Q8CG08	True			Swiss-Prot	0
B0R191	True			Swiss-Prot	0
P81534	True			Swiss-Prot	43
Q8WTQ1	True			Swiss-Prot	6
Q8N688	True			Swiss-Prot	0
Q8NES8	True			Swiss-Prot	3
Q8N687	True			Swiss-Prot	1
Q9BYW3	True			Swiss-Prot	15
Q55BZ5	True			Swiss-Prot	0
Q54CS6	True			Swiss-Prot	0
P28309	True			Swiss-Prot	0
P28310	True			Swiss-Prot	0
P28311	True			Swiss-Prot	0
P28312	True			Swiss-Prot	0
P50704	True			Swiss-Prot	0
P50705	True			Swiss-Prot	0
P50706	True			Swiss-Prot	0
P50707	True			Swiss-Prot	0
P46159	True			Swiss-Prot	0
Q7TNV7	True			Swiss-Prot	0
Q32ZF8	True			Swiss-Prot	0
Q70KL3	True			Swiss-Prot	0
Q32ZF7	True			Swiss-Prot	0
Q70KL2	True			Swiss-Prot	0
Q30KP6	True			Swiss-Prot	0
Q8BVB5	True			Swiss-Prot	0
Q30KM9	True			Swiss-Prot	0
Q32ZF3	True			Swiss-Prot	0
O15263	True			Swiss-Prot	12
Q6TU36	True			Swiss-Prot	0
Q30KJ2	True			Swiss-Prot	0
O18815	True			Swiss-Prot	0
Q00796	True			Swiss-Prot	29
Q01459	True			Swiss-Prot	15
Q3SZM7	True			Swiss-Prot	0
P16444	True			Swiss-Prot	63
P31428	True			Swiss-Prot	1
P22412	True			Swiss-Prot	0
P31429	True			Swiss-Prot	0
P31430	True			Swiss-Prot	0
