protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
Q5S007,True,,9606,Extracellular space,,Swiss-Prot,2346
P10636,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,2343
P00533,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,1646
P63104,True,,9606,Extracellular space,,Swiss-Prot,1321
P02751,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,1146
P05067,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,1115
P21333,True,,9606,Extracellular region,,Swiss-Prot,1107
P11362,True,,9606,Extracellular region,,Swiss-Prot,1086
P19320,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,1040
P08238,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,999
Q8WZ42,True,,9606,Extracellular region,,Swiss-Prot,990
P11142,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,972
P19838,True,,9606,Extracellular region,,Swiss-Prot,936
P07900,True,,9606,Extracellular region,,Swiss-Prot,917
P35968,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,907
P31947,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,901
P28482,True,,9606,Extracellular region,,Swiss-Prot,900
P07437,True,,9606,Extracellular region,,Swiss-Prot,891
P0DP23,True,,9606,Extracellular region,,Swiss-Prot,832
P10809,True,,9606,Extracellular space,,Swiss-Prot,829
P22607,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,820
P46531,True,,9606,Extracellular region,,Swiss-Prot,750
Q86VP6,True,,9606,Extracellular region,,Swiss-Prot,739
P04792,True,,9606,Extracellular space,,Swiss-Prot,733
P37840,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,699
P51532,True,,9606,Extracellular space,,Swiss-Prot,675
P17948,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,670
P08567,True,,9606,Extracellular region,,Swiss-Prot,657
P21860,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,644
P68431,True,,9606,Extracellular region,,Swiss-Prot,642
O94813,True,ECM Glycoproteins|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,642
P63261,True,,9606,Extracellular space,,Swiss-Prot,641
Q05655,True,,9606,Extracellular region,,Swiss-Prot,640
P67809,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,638
Q13813,True,,9606,Extracellular region,,Swiss-Prot,637
P29323,True,,9606,Extracellular region,,Swiss-Prot,635
P07996,True,ECM Glycoproteins|Core matrisome,9606,Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,635
P37173,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,619
P19438,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,613
O14757,True,,9606,Extracellular space,,Swiss-Prot,607
P60709,True,,9606,Extracellular space,,Swiss-Prot,597
P13501,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,581
O00560,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,580
P00749,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,560
P10721,True,,9606,Extracellular space,,Swiss-Prot,560
Q07021,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,556
P22455,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,554
P29350,True,,9606,Extracellular region,,Swiss-Prot,546
P12830,True,,9606,Extracellular region,,Swiss-Prot,546
Q16539,True,,9606,Extracellular region,,Swiss-Prot,546
P28799,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,543
P30530,True,,9606,Extracellular space,,Swiss-Prot,524
P15311,True,,9606,Extracellular space,,Swiss-Prot,522
O15020,True,,9606,Extracellular space,,Swiss-Prot,517
P62979,True,,9606,Extracellular space,,Swiss-Prot,516
P04216,True,,9606,Extracellular region,,Swiss-Prot,515
Q13464,True,,9606,Extracellular region,,Swiss-Prot,514
Q5XIE8,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,513
P09871,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,512
P07910,True,,9606,Extracellular region,,Swiss-Prot,504
Q15303,True,,9606,Extracellular region,,Swiss-Prot,503
Q9Y287,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,502
P51159,True,,9606,Extracellular region,,Swiss-Prot,502
P06396,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,498
P55290,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,497
P29279,True,,9606,Extracellular matrix|Extracellular region,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,492
P00441,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,490
P78371,True,,9606,Extracellular region,,Swiss-Prot,489
P21802,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,488
